District_Name,Year,dtp_1,dtp_2,dtp_3,n,dtp_1_cov,dtp_2_cov,dtp_3_cov
ANTANANARIVO,2013,38253,38739,39945,48421.4336,0.790001393,0.800038271,0.824944596
ANTANANARIVO,2014,60163,35809,37190,48421.4336,1.242486963,0.739527877,0.768048305
ANTANANARIVO,2015,35767,34476,34455,48421.4336,0.738660493,0.711998746,0.711565054
ANTANANARIVO,2016,34385,33786,34482,48421.4336,0.710119413,0.697748858,0.712122658
ANTANANARIVO,2017,33440,32413,32640,48421.4336,0.690603262,0.669393646,0.674081653
ANTANANARIVO,2018,13708,13548,13671,20175.59734,0.679434654,0.671504282,0.677600756
ANTSALOVA,2013,1971,1706,1407,2172.424309,0.907281322,0.785297786,0.647663531
ANTSALOVA,2014,1914,1598,1514,2172.424309,0.881043354,0.735583741,0.696917261
ANTSALOVA,2015,1419,1151,1024,2172.424309,0.653187314,0.529822832,0.471362798
ANTSALOVA,2016,1821,1197,1065,2172.424309,0.838234038,0.550997333,0.490235722
ANTSALOVA,2017,2414,2067,1678,2172.424309,1.11120097,0.951471585,0.772408959
ANTSALOVA,2018,746,552,444,905.1767955,0.824148391,0.609825619,0.490511911
MAHAJANGA I,2013,5461,5023,4823,6993.989,0.780813353,0.718188147,0.689592163
MAHAJANGA I,2014,6229,6195,6140,6993.989,0.890621933,0.885760615,0.87789672
MAHAJANGA I,2015,6266,6079,6156,6993.989,0.89591219,0.869174944,0.880184398
MAHAJANGA I,2016,6243,6047,6022,6993.989,0.892623651,0.864599587,0.861025089
MAHAJANGA I,2017,6634,6338,6300,6993.989,0.948528801,0.906206744,0.900773507
MAHAJANGA I,2018,2829,2647,2630,2914.162084,0.970776477,0.908322847,0.902489266
MIDONGY DU SUD,2013,1690,1498,1437,1706.076346,0.990577007,0.878038081,0.842283526
MIDONGY DU SUD,2014,422,395,486,1421.730288,0.296821418,0.277830474,0.341836988
MIDONGY DU SUD,2015,1191,1339,1205,1706.076346,0.698093027,0.784841782,0.70629899
MIDONGY DU SUD,2016,1514,1670,1626,1706.076346,0.887416325,0.978854202,0.953064032
MIDONGY DU SUD,2017,1168,1322,1296,1706.076346,0.684611801,0.774877398,0.759637752
MIDONGY DU SUD,2018,409,319,277,710.865144,0.57535526,0.448748968,0.389666032
TOLIARY I,2013,4685,4500,4714,5835.362192,0.802863618,0.771160358,0.807833318
TOLIARY I,2014,5176,4988,4963,5835.362192,0.887005781,0.854788415,0.850504191
TOLIARY I,2015,5389,4960,4954,5835.362192,0.923507371,0.849990084,0.84896187
TOLIARY I,2016,4826,4399,4592,5835.362192,0.827026642,0.753852093,0.786926304
TOLIARY I,2017,5325,4683,5102,5835.362192,0.912539758,0.80252088,0.874324478
TOLIARY I,2018,2242,1899,2111,2431.400914,0.922102146,0.781031211,0.868223742